question,answer
"enter image description here

how can I do this using scanf funtion ranging form -1000 to 1000 ?
just %d numbers
","Try dooing a loop with ascanfand aprintfinside, like this:

```
int num = 0;
for(int i = 0; i < 5; i++){
   scanf(""%d"", &num);
   printf(""%d"", num);
}
```

You just need to change the5to the number of iterations you need.
"
"enter image description here

how can I do this using scanf funtion ranging form -1000 to 1000 ?
just %d numbers
","Try dooing a loop with ascanfand aprintfinside, like this:

```
int num = 0;
for(int i = 0; i < 5; i++){
   scanf(""%d"", &num);
   printf(""%d"", num);
}
```

You just need to change the5to the number of iterations you need.
"
"Specifically ""the uri parameter may be a comma- or whitespace-separated list of URIs containing only the schema, the host, and the port fields"" what does this mean?

Working with openLDAP in c.
","It is simple list of URIs. The list can be separated by whitespace or comma:

Example:

http://myhost.com:4567,http://myhost1.com:45,http://myhost2.com:34545

or

http://myhost.com:4567 http://myhost1.com:45 http://myhost2.com:34545
"
"This question already has answers here:Returning an array using C(8 answers)Closed1 year ago.

How do I return a char array with any length in C?

```
char string[](int, int);
```

doesn't work; is there a way to return a char array?
","You are unable to do that in C.
Instead, return a pointer.

```
char *string(int length, int unused) {
  char *s = calloc(x, sizeof(char));
  return s;
}
```
"
"is it possible to buildpjsipwithopus-codecforwindowsas dll?
I built pjsua2.dll alone but seems no way to use opus with it.
","I downloaded opus and pjsip , opened pjsip from visual studio solution, added opus projects to solution and made reference to them from libpjpproject, then build it using this linklink
"
"```
printf(""%f  %.3f  %.2f  %.1f"", 4.5678, 4.5678, 4.5678, 4.5678);
```

I tried putting \n at the end of the series of floats to separate the line

```
printf(""%f  %.3f  %.2f  %.1f"", 4.5678, 4.5678, 4.5678, 4.5678)\n;
```
","That \n should be inside the strings of printf not after it

```
printf(""%f  %.3f  %.2f  %.1f \n"", 4.5678, 4.5678, 4.5678, 4.5678);
```
"
"I am usingntdll.libfunctions in my code to set the system timer to a higher resolution.

But when I build my project I get this error:

```
...
.../bin/ld.exe: ... undefined reference to `__imp_NtSetTimerResolution'
collect2.exe: error: ld returned 1 exit status
...
```

How do I tell the linker to link withntdll.libin my CMake?
","This worked for me:

```
if (WIN32)
    target_link_libraries(executable ntdll)
endif()
```
"
"There are two floating point numbers 23.54 and 33.22 have to make a program to add them with just left side integral value like 23+33=56.

Here's the code that I tried:


","```
int sum;
sum=(int)num1+(int)num2;
printf(""%d"",sum);
```

or

```
printf(""%d"",(int)num1+(int)num2);
```

The datatype of num1 is float and I'm using (int) to typecast to integer type.Since we typecast the datatype this is called explicit typecasting!
"
"There are two floating point numbers 23.54 and 33.22 have to make a program to add them with just left side integral value like 23+33=56.

Here's the code that I tried:


","```
int sum;
sum=(int)num1+(int)num2;
printf(""%d"",sum);
```

or

```
printf(""%d"",(int)num1+(int)num2);
```

The datatype of num1 is float and I'm using (int) to typecast to integer type.Since we typecast the datatype this is called explicit typecasting!
"
"when I run the command

```
pidof lh
```

for lh program, I get two values. what are they. I was looking of pid oflhrunning program so I can increase the number of open files limithttps://unix.stackexchange.com/a/422732/211761

Why i am getting two values, if one is pid then what is the other

OUTPUT

```
37354 7968
```

which one above is pid and what is the other number. please tell
","Both. You have two lh processes running.
"
"From thispostand thiscodebase, I know that there are pointers for

Youngest childYoungest siblingOldest sibling.

So withOldest child, how do I get?

I am thinking of access ""children"" pointer (current->children) and traverse to the end of that doubly linked list.
","Get the oldest sibling of the youngest child:

```
current->p_cptr->p_osptr
```
"
"I have a code that uses std=c++20.

I want to use a C library that was build with old gcc version.

Should I recompile the C library using the same compiler ?

If no, how could you judge that the 2 ABIs are compatible?
","There should be no problem using the library as it is. Don't forget to addextern ""C""around the function prototypes.

More info:Using C Libraries for C++ Programs
"
"From thispostand thiscodebase, I know that there are pointers for

Youngest childYoungest siblingOldest sibling.

So withOldest child, how do I get?

I am thinking of access ""children"" pointer (current->children) and traverse to the end of that doubly linked list.
","Get the oldest sibling of the youngest child:

```
current->p_cptr->p_osptr
```
"
"I have a code that uses std=c++20.

I want to use a C library that was build with old gcc version.

Should I recompile the C library using the same compiler ?

If no, how could you judge that the 2 ABIs are compatible?
","There should be no problem using the library as it is. Don't forget to addextern ""C""around the function prototypes.

More info:Using C Libraries for C++ Programs
"
"Closed. This question needsdetails or clarity. It is not currently accepting answers.Want to improve this question?Add details and clarify the problem byediting this post.Closed1 year ago.Improve this question

I want to know how can I see the functions and the contents of a library in C language?
","isnm libconfig.a | c++filtwhat you are looking for?
"
"I am programming a microcontroller (PSoC5), which doesn't have a system time.

What is the best way to generate a seed to initializesrand?

TIA
","If the chip has ADCs, one option is to take advantage of noise picked up on the ADCs.  Basically, you can take a few reads of the ADCs, then bitwise AND to keep the least significant bit.  Then use the all of the least significant bits sampled to generate your seed.
"
"I'm doing a shell from scratch. If I store all tokens in an arraychar**, what I supposed to put in a string of arraychar**when quote is empty?

Example:

```
input>echo """" """" """" | cat -e
output>(space)(space)(space)$
```
","If you're mimicking POSIX shells then each""""would tokenize to an empty string. The pipeline as a whole should tokenize to:

```
char *tokens[] = {""echo"", """", """", """", ""|"", ""cat"", ""-e""};
```
"
"This question already has answers here:Splitting string into two integers(4 answers)Closed2 years ago.

```
string input = 1999-12-05
int year=1999
int month=12
int day=05
```

I want to split input to new three variable.Thank you.
","You can usesscanf:

```
char* input = ""1999-12-05"";
int year;
int month;
int day;
sscanf(input, ""%d-%d-%d"", &year, &month, &day);
printf(""year: %d, month: %d, day: %d\n"", year, month, day);
```

demo
"
"I want to read the source code of winsock, but I only see header which is winsock.h. where is winsock.c located I need to read the source code implementation so bad.
","As to my knowledge Microsoft never released source code for that library. The best you can do is use Ida pro or simillar software to decompileWs2_32.dllorWs2_32.lib. That is the closest you will get to the source code, but it will be in pseudo C.
"
"```
union one
{
    int *ui;
    int u;
        
} yoo;

void main() 
{
    printf(""%d\m"", sizeof(yoo))
}
```

Why is the sizeof union not 8 bytes but 4 bytes even if I am using pointer in my union?

I am using a 64 bit machine.
","Its because you have compiled it as 32-bit executable.
"
"I want to do something similar to the code below but usingptr[i]

```
printf(""%s\t%d\n"", (ptr + i)->subject, (ptr + i)->marks);
```
","ptr->xis the same as(*ptr).x.

*(ptr + i)is the same asptr[i].

Thus, by the transitive property,(ptr + i)->xis the same as:

```
ptr[i].x
```
"
"I want to do something similar to the code below but usingptr[i]

```
printf(""%s\t%d\n"", (ptr + i)->subject, (ptr + i)->marks);
```
","ptr->xis the same as(*ptr).x.

*(ptr + i)is the same asptr[i].

Thus, by the transitive property,(ptr + i)->xis the same as:

```
ptr[i].x
```
"
"I am wondering what happens for variables & their content after STM32 mcu enters low power mode or exit from it? for example in sleep mode or standby.
do their content remove or survived?

best!
","You can preserve or not - it is usually (depending on the mode) up to the programmer. Memory consumes power so very often it is more energy efficient to reinitialize RAM after wake up (I do it sometimes in my projects)

Example: STM32L476:


"
"I'm working with a C-functionfoo(FILE* file)that outputs some text to a file.

Rather than write to a .txt file, I'd likefooto write to the console.

Is there a way to pass 'the console' as a FILE*? (And if so, how) ?

(foois part of a library and I can't edit the source code directly)
","There's a special file object calledstdoutthat will write to the console (assuming the shell didn't redirect anything).

```
foo(stdout);
```
"
